accession	Domain	Phylum	Class	Order	Family	Genus	Species
RS_GCF_900100715.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanolobus	s__Methanolobus vulcani
RS_GCF_900110535.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium jilantaiense
RS_GCF_900188065.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum vacuolatum
RS_GCF_900248165.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosocaldaceae	g__Nitrosocaldus	s__Nitrosocaldus cavascurensis
GB_GCA_000015805.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum calidifontis
GB_GCA_001189275.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum sp001189275
GB_GCA_001507955.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae_A	g__Methanothermobacter_A	s__Methanothermobacter_A sp001507955
GB_GCA_002010285.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__JdFR-41	s__JdFR-41 sp002010285
GB_GCA_002067895.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__MVRE01	s__MVRE01 sp002067895
GB_GCA_002496565.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp002496565
GB_GCA_002506335.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__UBA114	s__UBA114 sp002506335
GB_GCA_002507205.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanolobus	s__Methanolobus sp002507205
GB_GCA_002508545.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__Methanomassiliicoccus	s__Methanomassiliicoccus sp002508545
GB_GCA_002737445.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosarchaeum	s__Nitrosarchaeum sp002737445
GB_GCA_002898395.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Caldarchaeales	f__HR02	g__HRBIN02	s__HRBIN02 sp002898395
GB_GCA_002926195.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__HR1	g__HR1	s__HR1 sp002926195
GB_GCA_005877075.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__TA-21 sp005877075
GB_GCA_009665115.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__UBA10452	s__UBA10452 sp009665115
GB_GCA_009777615.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanoplasma	s__Methanoplasma sp009777615
GB_GCA_009840065.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__VYCS01	s__VYCS01 sp009840065
GB_GCA_009843815.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__VYCS01	s__VYCS01 sp009843815
GB_GCA_011053855.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__Thermosphaera	s__Thermosphaera aggregans_A
GB_GCA_011337845.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__NBVN01	g__DTCV01	s__DTCV01 sp011337845
GB_GCA_012026795.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp012026795
GB_GCA_012519255.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomassiliicoccaceae	g__DTU008	s__DTU008 sp012519255
GB_GCA_012520845.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__JAAYNL01	s__JAAYNL01 sp012520845
GB_GCA_013215285.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp013215285
GB_GCA_014647475.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halocalculus	s__Halocalculus aciditolerans
GB_GCA_900314635.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter sp900314635
GB_GCA_903819595.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__CAIKOD01	s__CAIKOD01 sp903819595
RS_GCF_000008645.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter thermautotrophicus
RS_GCF_000015145.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Pyrodictiaceae	g__Hyperthermus	s__Hyperthermus butylicus
RS_GCF_000015225.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_B	s__Thermofilum_B pendens_A
RS_GCF_000018365.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus onnurineus
RS_GCF_000018465.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus maritimus
RS_GCF_000025285.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_B	s__Archaeoglobus_B profundus
RS_GCF_000190315.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermocladiaceae	g__Vulcanisaeta	s__Vulcanisaeta moutnovskia
RS_GCF_000195915.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Thermoplasma	s__Thermoplasma acidophilum
RS_GCF_000196655.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalobium	s__Methanohalobium evestigatum
RS_GCF_000204925.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Metallosphaera	s__Metallosphaera cuprina
RS_GCF_000336935.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae	g__Halococcus	s__Halococcus salifodinae
RS_GCF_000337095.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum pallidum
RS_GCF_000337195.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme
RS_GCF_000337455.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex carlsbadense
RS_GCF_000337495.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salina
RS_GCF_000383975.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum tibetense
RS_GCF_000403645.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Salinarchaeaceae	g__Salinarchaeum	s__Salinarchaeum sp000403645
RS_GCF_000470655.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus tiamatea
RS_GCF_000474235.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum acidiphilum
RS_GCF_000499765.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium	s__Methanobacterium sp000499765
RS_GCF_000517625.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
RS_GCF_001261915.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp001261915
RS_GCF_001729965.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanosphaera	s__Methanosphaera sp001729965
RS_GCF_001861355.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba sp001861355
RS_GCF_002116695.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus manzaensis
RS_GCF_002214505.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus siculi
RS_GCF_002214525.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sp002214525
RS_GCF_002252755.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp002252755
RS_GCF_003298465.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Haladaptatus	s__Haladaptatus sp003298465
RS_GCF_004944975.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus sp004944975
RS_GCF_005239435.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus sp005239435
RS_GCF_007655485.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus captivus
RS_GCF_009392895.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum aibiense
RS_GCF_009729015.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus ambivalens
RS_GCF_900065925.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotalea	s__Nitrosotalea devanaterra
RS_GCF_900111645.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanococcoides	s__Methanococcoides vulcani
GB_GCA_001593865.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B24	f__B24	g__B24	s__B24 sp001593865
GB_GCA_002067035.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp002067035
GB_GCA_002495325.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanomethylophilus	s__Methanomethylophilus sp002495325
GB_GCA_002503205.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__UBA447	s__UBA447 sp002503205
GB_GCA_002839605.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp002839605
GB_GCA_002839675.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula sp002839675
GB_GCA_003176995.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__UBA10452	s__UBA10452 sp003176995
GB_GCA_009787175.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__PALSA-986	s__PALSA-986 sp009787175
GB_GCA_011620845.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__Methanobacterium_A sp011620845
GB_GCA_013114725.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__QCWD01	s__QCWD01 sp013114725
GB_GCA_013867335.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__JACEMX01	s__JACEMX01 sp013867335
GB_GCA_014361295.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__JACIVX01	g__JACIVX01	s__JACIVX01 sp014361295
GB_GCA_014523495.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__TA-21	s__TA-21 sp014523495
GB_GCA_900314695.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_A	s__Methanobrevibacter_A sp900314695
RS_GCF_000007185.1	d__Archaea	p__Methanobacteriota	c__Methanopyri	o__Methanopyrales	f__Methanopyraceae	g__Methanopyrus	s__Methanopyrus kandleri
RS_GCF_000016605.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Sulfolobaceae	g__Metallosphaera	s__Metallosphaera sedula
RS_GCF_000022205.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum lacusprofundi
RS_GCF_000024185.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__Methanobrevibacter ruminantium
RS_GCF_000025865.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalophilus	s__Methanohalophilus mahii
RS_GCF_000091665.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus jannaschii
RS_GCF_000144915.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Acidilobaceae	g__Acidilobus	s__Acidilobus saccharovorans
RS_GCF_000211475.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus sp000211475
RS_GCF_000230735.2	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
RS_GCF_000264495.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__Thermogladius	s__Thermogladius calderae
RS_GCF_000337115.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
RS_GCF_000337355.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum kocurii
RS_GCF_000337475.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema limicola
RS_GCF_000337555.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba asiatica
RS_GCF_000621965.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_B	s__Methanobrevibacter_B wolinii
RS_GCF_000745485.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_D	s__Methanobacterium_D veterum
RS_GCF_000800805.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanoplasma	s__Methanoplasma termitum
RS_GCF_000813245.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermofilales	f__Thermofilaceae	g__Thermofilum_B	s__Thermofilum_B adornatum
RS_GCF_001280425.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula rubripromontorii
RS_GCF_001571385.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanofollaceae	g__Methanofollis	s__Methanofollis ethanolicus
RS_GCF_001748385.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermocladiaceae	g__Vulcanisaeta_B	s__Vulcanisaeta_B thermophila
RS_GCF_001870125.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__Nitrosocosmicus	s__Nitrosocosmicus exaquare
RS_GCF_002487355.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanoperedenaceae	g__Methanoperedens	s__Methanoperedens sp002487355
RS_GCF_003342675.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus rubicundus
RS_GCF_003610195.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger aswanensis
RS_GCF_003670115.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum sp003670115
RS_GCF_003697845.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003697845
RS_GCF_004698125.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex sp004698125
RS_GCF_005543295.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__N1521	s__N1521 sp005543295
RS_GCF_009806985.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp009806985
RS_GCF_009900715.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halococcaceae	g__Halococcus	s__Halococcus salsus
RS_GCF_900111935.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sodomense
RS_GCF_900215575.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natronoarchaeaceae	g__Natronoarchaeum	s__Natronoarchaeum philippinense
RS_GCF_900620265.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosopumilus	s__Nitrosopumilus sp900620265
GB_GCA_001273385.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__B26-1	f__UBA233	g__AD8-1	s__AD8-1 sp001273385
GB_GCA_001717035.1	d__Archaea	p__Thermoproteota	c__Methanomethylicia	o__Methanomethylicales	f__Methanomethylicaceae	g__Methanomethylicus	s__Methanomethylicus mesodigestum
GB_GCA_002067865.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__UBA472	g__MVRC01	s__MVRC01 sp002067865
GB_GCA_002495025.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__UBA285	s__UBA285 sp002495025
GB_GCA_002501695.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanolobus	s__Methanolobus sp002501695
GB_GCA_002503985.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__UBA184	s__UBA184 sp002503985
GB_GCA_002505345.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__VadinCA11	s__VadinCA11 sp002505345
GB_GCA_002506905.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__UBA328	s__UBA328 sp002506905
GB_GCA_002507545.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus	s__Archaeoglobus sp002507545
GB_GCA_003056265.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__NBVN01	g__Zestosphaera	s__Zestosphaera tikiterensis
GB_GCA_003166335.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobacterium_A	s__Methanobacterium_A sp003166335
GB_GCA_003491285.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__UBA117	s__UBA117 sp002494785
GB_GCA_003555025.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__PWHV01	s__PWHV01 sp003555025
GB_GCA_009903825.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__AG1	g__WYEN01	s__WYEN01 sp009903825
GB_GCA_011055355.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Ignisphaeraceae	g__Ignisphaera	s__Ignisphaera aggregans_H
GB_GCA_011331255.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__RBG-16-68-12	f__RBG-16-68-12	g__RBG-16-68-12	s__RBG-16-68-12 sp011331255
GB_GCA_011338225.1	d__Archaea	p__Thermoproteota	c__Bathyarchaeia	o__40CM-2-53-6	f__DTDX01	g__DTDX01	s__DTDX01 sp011338225
GB_GCA_011355145.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA10834	f__DTMW01	g__DTMW01	s__DTMW01 sp011355145
GB_GCA_011364525.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Desulfurococcaceae	g__UBA285	s__UBA285 sp011364525
GB_GCA_011620785.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp011620785
GB_GCA_013154005.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Aciduliprofundales	f__Aciduliprofundaceae	g__JAADDK01	s__JAADDK01 sp013154005
GB_GCA_014647115.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum rubridurum
GB_GCA_900299125.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotenuis	s__Nitrosotenuis sp900299125
GB_GCA_903828975.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__CAIKOD01	s__CAIKOD01 sp903828975
GB_GCA_903871465.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix sp903871465
GB_GCA_903926075.1	d__Archaea	p__Halobacteriota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__CAIYHQ01	s__CAIYHQ01 sp903926075
RS_GCF_000011125.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Acidilobaceae	g__Aeropyrum	s__Aeropyrum pernix
RS_GCF_000015205.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Thermoproteales	f__Thermoproteaceae	g__Pyrobaculum	s__Pyrobaculum islandicum
RS_GCF_000024625.1	d__Archaea	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
RS_GCF_000151205.2	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus sp000151205
RS_GCF_000215995.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Pyrococcus	s__Pyrococcus yayanosii
RS_GCF_000223905.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
RS_GCF_000251105.1	d__Archaea	p__Halobacteriota	c__Methanocellia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocella conradii
RS_GCF_000320505.1	d__Archaea	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter_B	s__Methanobrevibacter_B boviskoreani
RS_GCF_000336895.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula argentinensis
RS_GCF_000385565.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_A	s__Archaeoglobus_A sulfaticallidus
RS_GCF_000731985.1	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema altunense
RS_GCF_000789255.1	d__Archaea	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Geoglobus	s__Geoglobus acetivorans
RS_GCF_000816105.1	d__Archaea	p__Methanobacteriota	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus guaymasensis
RS_GCF_000955905.1	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotenuis	s__Nitrosotenuis cloacae
RS_GCF_000970285.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina horonobensis
RS_GCF_000979455.1	d__Archaea	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina sp000979455
RS_GCF_001412615.1	d__Archaea	p__Thermoproteota	c__Thermoproteia	o__Sulfolobales	f__Pyrodictiaceae	g__Pyrodictium	s__Pyrodictium delaneyi
RS_GCF_001469875.2	d__Archaea	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax sp001469875
RS_GCF_001560915.1	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__Methanomassiliicoccales	f__Methanomethylophilaceae	g__Methanomethylophilus	s__Methanomethylophilus sp001560915
